0ppm	106.5616325	8.373459959	8.356471442		7.611545178
0ppm	105.9512238	8.311196576	8.306783163		
0ppm	105.5888867	8.238797889	8.224057904		
0ppm	106.1533392	8.344292594	8.274262562		
0ppm	106.1269866	8.266097485	8.241404265		
0ppm	104.121851	8.154221251	8.148829989		
0ppm	106.2876801	8.394414379	8.382428047		
1000ppm	112.9089808	9.85269505	9.662144832		
1000ppm	114.7799392	10.06696062	9.921669073		
1000ppm	113.1322064	9.923802255	9.815075466		
1000ppm	112.897887	10.03181978	9.829666607		
1000ppm	114.3914598	10.03138232	10.02613616		
1200ppm	114.8162677	10.19178833	9.985691878		
1200ppm	114.3995185	10.27380661	10.13900375		
1200ppm	116.034589	10.4431225	10.36212173		
1200ppm	116.1099553	10.63285242	10.43543417		
1200ppm	113.8160456	10.00477987	9.683088314		
1500ppm	116.8837721	10.64543119	10.44119914		
1500ppm	117.1412041	10.75669015	10.25902996		
1500ppm	118.3678455	11.18615343	10.93557206		
1500ppm	117.3809209	10.71245798	10.57595059		
1500ppm	119.3040338	11.11595832	10.90764997		
1500ppm	116.4906462	10.59931986	10.22367835		
1800ppm	118.3747231	10.96801453	10.66715228		
1800ppm	117.7638708	10.97670694	10.75410614		
1800ppm	121.4919771	11.48986393	11.07794054		
1800ppm	120.2640572	11.12270203	10.87565367		
1800ppm	119.2288675	10.95392636	10.77326432		
2000ppm	120.2430203	11.65515715	11.12720365		
2000ppm	119.4682445	11.30299026	10.94419972		
2000ppm	119.9424364	11.51379883	11.22340756		
2000ppm	120.3671736	11.48802824	11.14356128		
2000ppm	118.8745248	11.30357655	10.97561944		
2000ppm	119.5977695	11.34422293	11.04964403		
200ppm	107.2316879	8.611922348	8.565167893		
200ppm	107.1424191	8.509349198	8.509041089		
200ppm	106.7766209	8.512739836	8.488140819		
200ppm	107.2473619	8.676442382	8.646128916		
200ppm	107.3831418	8.592092234	8.592092234		
200ppm	105.6986438	8.422109137	8.42059944		
250ppm	107.8913761	8.647401015	8.630575872		
250ppm	106.8805404	8.577670082	8.548657736		
250ppm	105.7933808	8.52880424	8.459413896		
250ppm	106.9991749	8.5933486	8.571101946		
250ppm	108.2646157	8.921119748	8.778168999		
250ppm	109.3757477	8.925186811	8.888719637		
250ppm	107.6205924	8.672601617	8.563919652		
300ppm	108.264587	8.880657237	8.850889159		
300ppm	108.650866	8.840235705	8.825961156		
300ppm	108.2131128	8.718269853	8.658228924		
300ppm	108.3951005	8.888047198	8.874620244		
300ppm	108.3644939	8.73219423	8.653767103		
300ppm	108.3181956	8.994226972	8.980124814		
350ppm	108.4606377	8.863239881	8.821654815		
350ppm	107.9609606	8.882671434	8.789656975		
350ppm	107.6108748	8.78998565	8.740310369		
350ppm	108.4067245	8.84289662	8.744862041		
350ppm	108.0272334	9.000777678	8.866918501		
400ppm	108.3880146	8.860232417	8.841233357		
400ppm	108.6988651	8.920780998	8.825629747		
400ppm	109.4975006	9.270152554	9.120766791		
400ppm	108.2200918	8.791958222	8.788342525		
400ppm	109.054183	8.847224086	8.794260688		
500ppm	109.3570009	9.154952168	9.15137861		
500ppm	110.4717609	9.013562742	9.005956277		
500ppm	108.8312027	9.191210897	9.143883695		
500ppm	109.4259098	9.070338624	8.923152803		
500ppm	111.3533294	9.226320947	9.183646985		
800ppm	112.7820338	9.675021171	9.601894459		
800ppm	110.0070853	9.47344527	9.35916564		
800ppm	111.3264646	9.630917771	9.538952128		
800ppm	110.6661241	9.761304986	9.60546221		
800ppm	112.9648247	9.927644625	9.872471125		
0ppm	105.0808334	8.251555063	8.237350579		
0ppm	105.818519	8.441783103	8.361531242		
0ppm	103.9771913	8.054856581	8.050418778		
0ppm	103.9468887	8.085210396	8.072096029		
0ppm	104.6818474	8.174426987	8.14684542		
0ppm	105.0130546	8.147695838	8.132413728		
100ppm	104.6273311	8.200462704	8.185852037		
100ppm	105.0816489	8.208217708	8.177851347		
100ppm	105.0492588	8.173286133	8.149680796		
100ppm	105.1007766	8.310019227	8.238797889		
100ppm	105.1301353	8.310019227	8.245461737		
100ppm	104.8280139	8.207930238	8.181564121		
150ppm	105.8372621	8.379436626	8.322692483		
150ppm	106.7321988	8.399518604	8.399518604		
150ppm	104.7957071	8.394114317	8.318562245		
150ppm	106.6490932	8.425734552	8.410949788		
150ppm	106.6034064	8.492742534	8.443603662		
150ppm	106.3830668	8.39921819	8.391114839		
200ppm	105.8000171	8.624243663	8.603412638		
200ppm	106.0254389	8.40102099	8.359744757		
200ppm	105.7594452	8.465510114	8.369579531		
200ppm	106.3872044	8.503498869	8.429665503		
200ppm	106.7692499	8.440266553	8.436325999		
250ppm	104.7324171	8.42906051	8.321512014		
250ppm	107.7041258	8.6879851	8.641044244		
250ppm	107.0017618	8.601523854	8.575166763		
250ppm	107.0125119	8.624560054	8.525401042		
250ppm	106.5815801	8.658228924	8.570789425		
