0	125.7394532	6.718551498	6.700925226
100	126.1477842	6.925627286	6.897749614
150	127.2998164	7.216088294	7.164821856
200	129.0668115	7.630044064	7.520909572
250	129.5810655	7.791329387	7.609494867
300	131.3812287	8.060704234	7.891093069
350	132.1657085	8.352933679	8.169197155
400	132.9464539	8.553009318	8.297000633
500	134.7456268	8.852191319	8.564010459
800	138.2455464	9.840163457	9.294180318
1000	140.2988187	10.29784986	9.621963849
1200	142.8820833	11.09608335	10.05045301
1500	145.0211045	11.55869903	10.35908645
1800	147.7021648	12.27657606	10.7489599
2000	149.6803013	12.62120628	11.01152378


