0	1116.739335
0	1111.299156
0	1115.505641
0	1113.432571
100	1116.33455
100	1117.797717
100	1120.22014
100	1116.965294
100	1121.088465
150	1122.819168
150	1121.394211
150	1121.016704
150	1120.927328
150	1118.34452
150	1119.53896
150	1123.189424
200	1122.749523
200	1123.205659
200	1122.245912
200	1123.426664
200	1124.653398
250	1126.101512
250	1124.151559
250	1122.255944
250	1123.14448
250	1124.450712
300	1125.66341
300	1127.298772
300	1129.39679
300	1126.592289
300	1128.883825
350	1127.4316
350	1130.542305
350	1129.534983
350	1127.936333
350	1127.93703
500	1134.37759
500	1134.252306
500	1135.345603
500	1132.851498
500	1137.197894
1000	1150.984877
1000	1150.515008
1000	1149.612315
1000	1149.393799
1000	1148.718034
2000	1171.020072
2000	1175.253141
2000	1175.90833
2000	1172.462568
