0	125.6642747	1101.848195	6.963050975
50	126.2345835	1101.548002	7.015804502
100	127.4284049	1104.282559	7.225717048
150	128.0665189	1105.763264	7.508931618
200	129.1855681	1107.772652	7.690825213
250	130.2653872	1111.162515	7.929040227
300	130.4928184	1111.996166	8.10289237
350	132.0293426	1112.452685	8.266948271
400	131.8506786	1114.655756	8.490905306
500	133.4675717	1117.538008	8.875816836
600	134.8449419	1121.835543	9.163658599
700	136.165796	1124.035022	9.503553444
800	137.4226479	1125.807951	9.902167497
900	138.0436052	1128.735838	10.15331086
1000	139.1967865	1132.284268	10.59611184
1500	142.8890968	1142.548792	11.670515
2000	146.3065597	1151.090209	12.32600121
