0ppm	1050.969589	6.571235212	6.569855028	0
0ppm	1051.640737	6.575970603	6.573404959	1
0ppm	1051.666635	6.556273781	6.53999299	2
0ppm	1051.656862	6.607871383	6.596748863	3
1000ppm	1087.607913	9.822156469	9.145310301	0
1000ppm	1089.488605	10.05726851	9.30961235	1
1000ppm	1089.173092	9.872471125	9.212532657	2
1000ppm	1089.891337	10.09927665	9.280443897	3
1000ppm	1090.360803	10.03050752	9.333386977	4
100ppm	1055.683373	6.794590801	6.732955549	0
100ppm	1053.65281	6.756763813	6.742381147	1
100ppm	1053.341031	6.785051333	6.719263455	2
100ppm	1053.760507	6.808731117	6.741355634	3
150ppm	1059.259915	7.037737127	6.968039426	0
150ppm	1059.224498	6.961562251	6.924611766	1
150ppm	1060.75223	7.056660664	7.041031813	2
150ppm	1060.425263	7.158175054	7.068806299	3
2000ppm	1115.916595	12.49491605	10.92212557	0
2000ppm	1113.352136	11.99076818	10.4416799	1
2000ppm	1113.646666	11.99351645	10.38958783	2
2000ppm	1114.642596	12.57903598	10.79667928	3
2000ppm	1114.086764	12.34480457	10.8380934	4
200ppm	1059.94847	7.423934136	7.28228072	0
200ppm	1058.347522	7.411712294	7.176044953	1
200ppm	1061.459859	7.39928612	7.268366216	2
200ppm	1062.44978	7.252650151	7.079212279	3
250ppm	1063.904662	7.599752168	7.514627625	0
250ppm	1062.124586	7.457662173	7.313518353	1
250ppm	1067.06906	7.694744452	7.488486568	2
250ppm	1065.226276	7.618033006	7.470014198	3
250ppm	1064.241948	7.827793444	7.664962397	4
300ppm	1065.561978	7.817534203	7.588770634	0
300ppm	1061.86885	7.67359598	7.542653065	1
300ppm	1063.041283	7.859778513	7.630598679	2
300ppm	1063.920974	7.758814889	7.609258618	3
350ppm	1065.324635	8.016728823	7.693212189	0
350ppm	1067.077974	8.029400919	7.848649545	1
350ppm	1068.599489	8.069032419	7.811757613	2
350ppm	1070.988851	8.079904073	7.82805682	3
500ppm	1075.059782	8.402523895	8.111558535	0
500ppm	1074.179366	8.522309537	8.200175747	1
500ppm	1072.569504	8.47253136	8.213107602	2
500ppm	1073.901166	8.67196182	8.30854799	3
500ppm	1075.502991	8.558307	8.307665487	4
